D	ghost	witch	mummy	entrepreneur	zombie
A	entrepreneur	zombie	ghost	mummy	witch
B	witch	entrepreneur	ghost	zombie	mummy
B	witch	entrepreneur	mummy	ghost	zombie
A	entrepreneur	ghost	mummy	witch	zombie
B	poor	colorful	wealthy	destitute	rich
E	wealthy	rich	destitute	poor	colorful
C	poor	rich	colorful	wealthy	destitute
E	destitute	wealthy	poor	rich	colorful
B	wealthy	colorful	rich	poor	destitute
C	coccyx	tibia	gills	clavicle	sternum
C	tibia	clavicle	gills	sternum	coccyx
A	gills	clavicle	tibia	coccyx	sternum
B	clavicle	gills	tibia	sternum	coccyx
D	clavicle	tibia	coccyx	gills	sternum
A	chemistry	angioplasty	appendectomy	rhinoplasty	vasectomy
A	chemistry	vasectomy	angioplasty	rhinoplasty	appendectomy
C	appendectomy	vasectomy	chemistry	rhinoplasty	angioplasty
E	angioplasty	vasectomy	rhinoplasty	appendectomy	chemistry
E	vasectomy	appendectomy	angioplasty	rhinoplasty	chemistry
B	screwdriver	computer	hammer	pliers	wrench
D	pliers	screwdriver	hammer	computer	wrench
D	pliers	screwdriver	wrench	computer	hammer
D	wrench	pliers	screwdriver	computer	hammer
E	hammer	wrench	screwdriver	pliers	computer
B	koala	kiwi	wombat	wallaby	kangaroo
B	koala	kiwi	wombat	wallaby	kangaroo
D	kangaroo	wombat	koala	kiwi	wallaby
A	kiwi	koala	wallaby	kangaroo	wombat
E	koala	kangaroo	wombat	wallaby	kiwi
A	collie	dalmation	leopard	giraffe	appaloosa
C	dalmation	appaloosa	collie	giraffe	leopard
C	leopard	appaloosa	collie	giraffe	dalmation
B	appaloosa	collie	giraffe	leopard	dalmation
A	collie	dalmation	giraffe	appaloosa	leopard
D	emu	rhea	penguin	eagle	ostrich
B	penguin	eagle	rhea	ostrich	emu
C	emu	rhea	eagle	ostrich	penguin
E	rhea	ostrich	penguin	emu	eagle
A	eagle	penguin	rhea	emu	ostrich
A	tuna	oyster	clam	mussel	scallop
C	mussel	clam	tuna	oyster	scallop
C	scallop	mussel	tuna	clam	oyster
D	mussel	clam	oyster	tuna	scallop
D	scallop	clam	oyster	tuna	mussel
