E	Nescafe	Starbucks	Illy	Folgers	Ferrari
A	Ferrari	Starbucks	Folgers	Nescafe	Illy
C	Folgers	Starbucks	Ferrari	Illy	Nescafe
D	Starbucks	Illy	Folgers	Ferrari	Nescafe
B	Nescafe	Ferrari	Folgers	Starbucks	Illy
E	Smooth Criminal	Billie Jean	Beat it	Thriller	Goodbye Yellow Brick Road
E	Smooth Criminal	Billie Jean	Beat it	Thriller	Goodbye Yellow Brick Road
C	Smooth Criminal	Beat it	Goodbye Yellow Brick Road	Billie Jean	Thriller
E	Beat it	Thriller	Billie Jean	Smooth Criminal	Goodbye Yellow Brick Road
B	Smooth Criminal	Goodbye Yellow Brick Road	Beat it	Billie Jean	Thriller
A	Toyota	Prius	Accord	Camry	Sentra
B	Camry	Toyota	Accord	Sentra	Prius
D	Prius	Sentra	Camry	Toyota	Accord
B	Camry	Toyota	Sentra	Prius	Accord
C	Accord	Sentra	Toyota	Camry	Prius
B	MTV	NRA	Bravo	Showtime	HBO
D	Showtime	MTV	Bravo	NRA	HBO
E	HBO	Showtime	MTV	Bravo	NRA
D	HBO	Bravo	Showtime	NRA	MTV
A	NRA	Bravo	HBO	Showtime	MTV
B	Bilbo Baggins	Paul Allen	Santa Claus	Harry Potter	Wonder Woman
E	Harry Potter	Bilbo Baggins	Santa Claus	Wonder Woman	Paul Allen
A	Paul Allen	Bilbo Baggins	Santa Claus	Harry Potter	Wonder Woman
B	Bilbo Baggins	Paul Allen	Santa Claus	Harry Potter	Wonder Woman
A	Paul Allen	Wonder Woman	Bilbo Baggins	Santa Claus	Harry Potter
A	Ikea	SeaWorld	Universal Studios	Six Flags	Disneyland
E	Six Flags	Universal Studios	SeaWorld	Disneyland	Ikea
C	SeaWorld	Disneyland	Ikea	Universal Studios	Six Flags
A	Ikea	SeaWorld	Disneyland	Universal Studios	Six Flags
C	Six Flags	Disneyland	Ikea	Universal Studios	SeaWorld
D	Athena	Demeter	Aphrodite	Madonna	Hera
A	Madonna	Aphrodite	Hera	Demeter	Athena
D	Aphrodite	Hera	Demeter	Madonna	Athena
C	Hera	Athena	Madonna	Aphrodite	Demeter
D	Demeter	Aphrodite	Athena	Madonna	Hera
A	Oakland Athletics	Dallas Cowboys	Detroit Lions	Seattle Seahawks	Buffalo Bills
D	Dallas Cowboys	Detroit Lions	Buffalo Bills	Oakland Athletics	Seattle Seahawks
D	Detroit Lions	Seattle Seahawks	Dallas Cowboys	Oakland Athletics	Buffalo Bills
C	Dallas Cowboys	Buffalo Bills	Oakland Athletics	Detroit Lions	Seattle Seahawks
B	Seattle Seahawks	Oakland Athletics	Detroit Lions	Dallas Cowboys	Buffalo Bills
D	Alpha Centauri	Polaris	Sirius	Milky Way	Canis Majorus
D	Polaris	Alpha Centauri	Canis Majorus	Milky Way	Sirius
D	Alpha Centauri	Polaris	Sirius	Milky Way	Canis Majorus
A	Milky Way	Sirius	Alpha Centauri	Canis Majorus	Polaris
D	Polaris	Alpha Centauri	Canis Majorus	Milky Way	Sirius
C	Hey Diddle Diddle	Mary Had a Little Lamb	Howl	Jack and Jill	Little Jack Horner
D	Mary Had a Little Lamb	Jack and Jill	Little Jack Horner	Howl	Hey Diddle Diddle
C	Little Jack Horner	Mary Had a Little Lamb	Howl	Hey Diddle Diddle	Jack and Jill
B	Little Jack Horner	Howl	Jack and Jill	Mary Had a Little Lamb	Hey Diddle Diddle
D	Hey Diddle Diddle	Jack and Jill	Little Jack Horner	Howl	Mary Had a Little Lamb
D	San Francisco Giants	Chicago White Sox	St. Louis Cardinals	Seattle Seahawks	Boston Red Sox
A	Seattle Seahawks	St. Louis Cardinals	Boston Red Sox	Chicago White Sox	San Francisco Giants
A	Seattle Seahawks	San Francisco Giants	Chicago White Sox	Boston Red Sox	St. Louis Cardinals
D	Chicago White Sox	Boston Red Sox	San Francisco Giants	Seattle Seahawks	St. Louis Cardinals
B	San Francisco Giants	Seattle Seahawks	Boston Red Sox	Chicago White Sox	St. Louis Cardinals
A	Valium	Sudafed	NyQuil	Robitussin	Vicks
E	Sudafed	Robitussin	NyQuil	Vicks	Valium
B	Robitussin	Valium	NyQuil	Sudafed	Vicks
E	NyQuil	Vicks	Sudafed	Robitussin	Valium
B	Sudafed	Valium	NyQuil	Vicks	Robitussin
D	Parker	Pilot	Waterman	Frito-Lay	Bic
C	Waterman	Bic	Frito-Lay	Pilot	Parker
C	Bic	Parker	Frito-Lay	Waterman	Pilot
E	Waterman	Bic	Parker	Pilot	Frito-Lay
A	Frito-Lay	Waterman	Pilot	Parker	Bic
A	Peru	Costa Rica	Guatemala	Belize	Honduras
A	Peru	Costa Rica	Honduras	Belize	Guatemala
C	Costa Rica	Guatemala	Peru	Belize	Honduras
E	Guatemala	Costa Rica	Belize	Honduras	Peru
D	Belize	Guatemala	Costa Rica	Peru	Honduras
E	Eastern	Mountain	Pacific	Central	Desert
D	Pacific	Eastern	Mountain	Desert	Central
E	Eastern	Central	Mountain	Pacific	Desert
E	Eastern	Central	Pacific	Mountain	Desert
A	Desert	Eastern	Mountain	Pacific	Central
E	Love Me Tender	Jailhouse Rock	Viva Las Vegas	Hound Dog	Smells Like Teen Spirit
A	Smells Like Teen Spirit	Jailhouse Rock	Viva Las Vegas	Love Me Tender	Hound Dog
A	Smells Like Teen Spirit	Jailhouse Rock	Viva Las Vegas	Hound Dog	Love Me Tender
A	Smells Like Teen Spirit	Hound Dog	Jailhouse Rock	Love Me Tender	Viva Las Vegas
A	Smells Like Teen Spirit	Love Me Tender	Viva Las Vegas	Jailhouse Rock	Hound Dog
B	Panasonic	Cuisinart	Rayovac	Energizer	Duracell
A	Cuisinart	Rayovac	Energizer	Panasonic	Duracell
A	Cuisinart	Rayovac	Panasonic	Energizer	Duracell
B	Rayovac	Cuisinart	Duracell	Panasonic	Energizer
A	Cuisinart	Rayovac	Panasonic	Duracell	Energizer
B	The Crucible	Dora the Explorer	Romeo and Juliet	Hamlet	Our Town
B	Romeo and Juliet	Dora the Explorer	Hamlet	Our Town	The Crucible
E	Romeo and Juliet	Hamlet	Our Town	The Crucible	Dora the Explorer
A	Dora the Explorer	Our Town	Hamlet	Romeo and Juliet	The Crucible
E	Our Town	Romeo and Juliet	The Crucible	Hamlet	Dora the Explorer
B	Sucrets	Twizzlers	Vicks	Ricola	Halls
C	Sucrets	Ricola	Twizzlers	Vicks	Halls
C	Sucrets	Ricola	Twizzlers	Halls	Vicks
B	Sucrets	Twizzlers	Ricola	Vicks	Halls
E	Halls	Sucrets	Vicks	Ricola	Twizzlers
E	Grand Canyon	Yellowstone	Yosemite	Zion	Kerry
D	Yosemite	Grand Canyon	Zion	Kerry	Yellowstone
C	Yosemite	Yellowstone	Kerry	Grand Canyon	Zion
C	Grand Canyon	Zion	Kerry	Yellowstone	Yosemite
E	Yosemite	Zion	Yellowstone	Grand Canyon	Kerry
